"","animal","weight","age","color","spots","sex","appetite","eyecColor","aggressiveness","yard"
"37","sheep",772,7,"grey",1,"F",4.07,"black",1,1
"38","horse",1002.2,2,"red",1,"M",5.175,"brown",4,1
"39","sheep",1374.1,5,"black",0,"M",5.776,"brown",1,3
"40","goat",1074,4,"white",0,"M",2.489,"black",5,1
"41","goat",1084.1,3,"brown",0,"M",6.331,"brown",2,3
"42","goat",1212.1,3,"black",1,"M",6.705,"brown",1,1
"43","horse",988.4,2,"black",1,"M",5.245,"brown",5,1
"44","pig",1259.6,6,"white",0,"F",0.035,"black",2,2
"45","horse",1099.9,2,"brown",0,"F",5.281,"black",3,1
"46","goat",954.5,1,"black",0,"F",4.4,"brown",1,1
"47","pig",975.7,3,"grey",0,"F",10.6,"black",5,1
"48","goat",1076.4,6,"black",1,"F",4.757,"brown",2,1
"49","pig",1084.4,1,"red",0,"M",8.746,"black",1,2
"50","goat",719.8,4,"red",1,"M",4.269,"brown",5,2
"51","goat",785,5,"black",0,"M",3.715,"brown",5,1
"52","pig",1063.4,2,"red",1,"M",3.492,"brown",1,2
"53","pig",1465.2,7,"brown",1,"M",3.777,"black",1,1
"54","horse",828.7,5,"grey",1,"F",9.356,"brown",4,1
"55","goat",934.4,8,"red",0,"F",11.339,"black",4,2
"56","horse",1053.7,2,"white",1,"F",7.298,"black",4,1
"57","goat",1322.1,7,"white",0,"M",13.411,"black",4,1
"58","horse",1444.2,4,"grey",0,"M",3.863,"brown",5,2
"59","horse",915.6,7,"red",1,"F",10.183,"brown",4,3
"60","pig",1542.6,6,"black",1,"F",5.942,"black",5,2
"61","goat",1080,3,"grey",1,"M",6.01,"black",1,2
"62","pig",1202,5,"red",1,"F",2.373,"brown",2,1
"63","goat",762.4,5,"red",1,"M",6.899,"black",4,1
"64","pig",931.8,3,"grey",0,"F",5.518,"brown",5,1
"65","goat",1148.5,4,"black",0,"M",0.745,"black",2,4
"66","sheep",441.7,3,"grey",1,"F",1.649,"black",1,1
"67","pig",1311,3,"brown",1,"M",6.846,"black",5,1
"68","horse",929.4,8,"grey",1,"F",-1.605,"black",4,1
"69","goat",1667.1,3,"grey",0,"F",7.103,"brown",4,1
"70","goat",937.7,7,"brown",0,"F",2.437,"black",4,1
"71","horse",1147.2,3,"black",0,"F",3.529,"blue",3,1
"72","goat",901,5,"white",0,"F",5.326,"brown",5,1
"73","goat",1041.1,2,"grey",1,"M",5.628,"brown",5,1
"74","goat",1089.2,6,"black",0,"F",8.237,"brown",5,4
"75","horse",756.4,5,"brown",1,"F",4.583,"brown",4,1
"76","goat",714.4,8,"white",1,"M",4.49,"blue",2,3
"77","pig",1651.2,4,"red",0,"F",5.283,"brown",3,1
"78","horse",1149.5,1,"black",0,"F",8.155,"brown",3,1
"79","sheep",1121.5,3,"brown",1,"M",5.757,"black",4,2
"80","sheep",1552,7,"grey",0,"F",6.626,"black",4,3
"81","goat",1135.7,8,"brown",0,"M",4.852,"brown",4,1
"82","horse",1321.8,8,"red",0,"M",4.984,"blue",1,3
"83","pig",1187.9,4,"red",0,"M",5.35,"black",5,3
"84","horse",1528.6,3,"grey",0,"F",2.353,"black",4,1
"85","goat",1440.5,2,"grey",1,"M",5.41,"brown",2,3
"86","horse",1243.7,3,"grey",0,"F",11.733,"black",5,1
"87","goat",1122.5,3,"brown",1,"F",14.308,"brown",5,1
"88","sheep",1257.2,8,"white",0,"M",3.592,"brown",3,1
"89","goat",1249.1,8,"black",0,"M",6.195,"brown",5,1
"90","horse",1139.9,3,"white",1,"M",-0.659,"black",5,2
"91","goat",1152.1,3,"grey",0,"F",6.312,"black",3,3
"92","goat",696,2,"brown",0,"M",6.151,"black",5,1
"93","horse",1110.2,3,"black",0,"M",6.474,"black",3,1
"94","pig",1137.2,4,"brown",1,"F",8.429,"black",3,1
"95","pig",1385.4,6,"brown",0,"M",5.129,"red",2,3
"96","pig",947.9,6,"brown",0,"M",7.097,"brown",1,3
"97","pig",1249.2,2,"white",0,"F",6.172,"brown",4,1
"98","goat",781.3,4,"black",0,"F",1.917,"black",4,3
"99","goat",970.2,2,"red",0,"F",5.765,"black",4,2
"100","goat",1212,7,"grey",0,"F",5.425,"brown",1,1
"101","goat",976.1,2,"grey",0,"M",5.409,"black",4,2
"102","goat",1117.6,4,"black",0,"F",5.583,"brown",3,1
"103","sheep",1227.7,1,"black",1,"F",6.261,"black",1,2
"104","pig",834.3,2,"white",0,"M",4.946,"black",2,2
"105","horse",991.7,2,"white",0,"M",5.361,"black",3,1
"106","sheep",1070.2,6,"grey",0,"F",11.505,"black",5,1
"107","goat",943.1,6,"brown",0,"M",0.497,"black",3,4
"108","pig",971.8,2,"red",1,"F",9.2,"black",2,2
"109","horse",1230.3,2,"white",0,"F",0.805,"brown",2,1
"110","goat",849.7,3,"brown",1,"M",3.462,"black",3,3
"111","horse",1284.1,2,"grey",0,"M",3.665,"black",5,1
"112","horse",1061.2,2,"white",0,"F",3.15,"brown",3,1
"113","goat",1071.7,2,"grey",0,"M",7.153,"black",4,2
"114","goat",963.8,2,"black",0,"F",7.094,"black",2,3
"115","horse",1255.6,4,"brown",1,"F",5.765,"brown",1,2
"116","sheep",1415.1,6,"red",0,"F",4.525,"brown",4,3
"117","horse",1245.9,4,"brown",0,"M",1.725,"brown",5,1
"118","horse",1087.8,2,"red",0,"M",6.08,"black",3,2
"119","sheep",1155.7,1,"grey",0,"M",6.076,"black",4,4
"120","pig",668.5,6,"brown",0,"F",2.861,"brown",2,1
"121","pig",1104.9,7,"red",0,"F",5.769,"blue",5,2
"122","pig",762.3,1,"black",1,"M",6.687,"black",3,3
"123","horse",865.5,2,"red",0,"F",6.128,"black",5,1
"124","goat",734.5,4,"black",0,"F",10.69,"black",1,1
"125","goat",1591.5,2,"red",0,"M",6.38,"brown",3,1
"126","goat",1268.9,8,"black",0,"M",5.741,"black",1,3
"127","pig",776.3,4,"red",1,"M",3.207,"brown",1,1
"128","sheep",963,5,"red",0,"M",3.654,"black",1,1
"129","sheep",1027.9,4,"white",1,"F",1.177,"brown",4,1
"130","sheep",663.1,4,"black",0,"M",6.587,"brown",2,2
"131","pig",1272.4,3,"brown",0,"F",4.962,"black",2,4
"132","goat",779.4,2,"grey",0,"F",8.104,"black",1,3
"133","pig",1454.9,3,"black",1,"M",0.974,"brown",3,1
"134","pig",1536.3,1,"black",0,"M",7.585,"blue",1,1
"135","goat",669.8,2,"brown",0,"M",0.554,"black",5,1
"136","goat",1068.3,2,"grey",0,"F",0.834,"black",5,3
"137","horse",714.2,7,"black",1,"M",5.029,"brown",2,3
"138","pig",901.6,3,"grey",0,"F",3.713,"brown",3,2
"139","horse",953.6,2,"grey",0,"F",3.961,"black",2,1
"140","cow",1029.9,6,"grey",1,"F",-0.465,"brown",5,1
"141","goat",973.9,4,"red",0,"M",7.069,"brown",1,2
"142","horse",1219.1,4,"brown",1,"M",4.613,"black",4,3
"143","horse",1238.5,4,"black",1,"M",4.347,"black",4,1
"144","pig",933.6,4,"brown",0,"M",10.325,"black",5,1
"145","horse",1285.3,8,"black",0,"M",3.431,"black",4,3
"146","goat",1092.6,1,"grey",1,"F",7.919,"black",1,1
"147","goat",871.8,4,"red",1,"M",0.247,"black",5,1
"148","cow",1098.3,4,"red",0,"M",8.469,"black",2,1
"149","goat",831.9,5,"black",0,"M",-0.036,"black",5,1
"150","horse",1302.5,4,"white",0,"M",3.322,"black",1,2
"151","goat",987.6,4,"white",0,"F",7.632,"black",4,1
"152","sheep",1319.5,3,"white",1,"F",5.304,"brown",3,2
"153","goat",917.2,2,"brown",0,"F",5.348,"black",3,1
"154","goat",1154.6,1,"brown",1,"F",6.581,"brown",3,4
"155","pig",1163.7,3,"grey",0,"M",10.078,"brown",5,2
"156","pig",557,1,"black",0,"F",3.401,"black",2,3
"157","pig",1086.8,2,"black",0,"M",3.063,"brown",4,1
"158","horse",846.9,1,"brown",0,"M",4.552,"black",4,1
"159","horse",1074.4,7,"red",0,"M",4.553,"black",2,4
"160","goat",1110,2,"white",0,"F",7.573,"black",5,1
"161","pig",873.3,3,"grey",0,"F",8.128,"brown",4,1
"162","sheep",638.4,4,"grey",0,"M",7.807,"brown",5,1
"163","goat",1358.7,7,"black",0,"F",7.032,"brown",5,3
"164","pig",1222.7,6,"black",1,"M",3.234,"black",1,1
"165","horse",1184.4,5,"white",1,"F",0.666,"brown",1,1
"166","horse",1285.9,4,"brown",1,"F",9.559,"blue",3,1
"167","goat",1340.1,4,"white",0,"F",5.841,"brown",1,3
"168","goat",1168.6,7,"red",1,"F",1.921,"brown",3,1
"169","pig",1203.1,1,"grey",1,"M",7.58,"brown",4,1
"170","goat",988.6,7,"brown",0,"M",7.707,"black",2,1
"171","horse",1181.9,8,"white",0,"M",2.818,"blue",5,2
"172","horse",1249.1,2,"grey",0,"F",2.017,"black",1,2
"173","goat",1141.9,1,"brown",1,"F",6.245,"brown",4,2
"174","pig",1027.3,4,"black",1,"M",1.877,"black",3,3
"175","goat",837.5,3,"black",0,"M",7.575,"black",2,3
"176","pig",881.5,6,"grey",0,"M",7.378,"black",4,2
"177","goat",1077.1,2,"white",1,"F",-0.823,"brown",1,3
"178","pig",1404.3,6,"red",1,"M",6.413,"black",2,2
"179","horse",1224.9,2,"white",0,"M",8.813,"black",2,1
"180","goat",1059.5,5,"brown",0,"F",7.854,"black",2,1
"181","sheep",1130.8,8,"black",0,"F",5.586,"black",1,1
"182","horse",953.3,2,"grey",0,"F",2.644,"black",5,3
"183","pig",984.4,3,"grey",1,"F",4.525,"brown",3,3
"184","horse",1373,3,"white",1,"M",6.247,"black",2,1
"185","goat",1155.5,3,"white",0,"M",6.101,"black",1,4
"186","horse",1277.6,3,"white",0,"M",7.439,"brown",2,1
"187","horse",1109.5,4,"grey",1,"F",5.284,"black",5,1
"188","goat",691.1,2,"black",0,"F",-3.134,"black",1,3
"189","pig",941.5,5,"red",0,"F",7.33,"brown",4,1
"190","pig",1251,4,"brown",0,"M",-4.116,"brown",1,1
"191","goat",976,4,"brown",0,"F",2.741,"brown",3,1
"192","horse",1064.1,2,"red",0,"F",8.904,"brown",5,1
"193","pig",777,1,"black",0,"F",8.803,"black",2,2
"194","sheep",1006.2,2,"black",1,"F",6.843,"black",1,3
"195","cow",1357.5,6,"black",1,"F",2.104,"black",4,2
"196","horse",791.3,4,"grey",0,"F",1.103,"black",1,2
"197","pig",944.1,8,"grey",0,"M",7.278,"brown",4,3
"198","pig",826.1,4,"white",0,"M",4.481,"black",3,4
"199","pig",737.3,2,"grey",1,"M",2.493,"black",2,1
"200","horse",1403.8,1,"white",0,"M",1.658,"brown",5,1
"201","pig",1083.5,8,"brown",1,"M",5.291,"brown",4,1
"202","horse",1014.3,5,"red",0,"F",-2.589,"brown",3,3
"203","goat",924.2,8,"black",0,"M",3.664,"black",5,2
"204","horse",1237.4,4,"brown",1,"M",8.299,"black",1,2
"205","goat",1357.5,1,"black",1,"M",3.035,"brown",5,4
"206","goat",1279.1,2,"brown",1,"F",13.913,"brown",1,2
"207","sheep",1547.6,7,"grey",0,"F",5.186,"brown",4,3
"208","goat",824.5,2,"black",0,"F",8.807,"black",1,2
"209","goat",1441.8,4,"white",1,"M",1.555,"brown",3,4
"210","horse",993.3,2,"brown",0,"M",6.9,"brown",3,2
"211","pig",1159.9,4,"brown",0,"M",12.341,"black",1,1
"212","goat",1375.2,4,"black",1,"F",4.441,"brown",3,3
"213","goat",1363.6,2,"red",1,"M",2.81,"brown",1,2
"214","pig",1048.9,2,"brown",0,"F",4.45,"black",2,3
"215","goat",737.9,3,"grey",0,"F",2.452,"black",1,3
"216","goat",1228.2,3,"brown",1,"M",7.474,"blue",1,4
"217","pig",1131.6,2,"brown",0,"M",13.717,"black",3,1
"218","pig",742.5,1,"white",1,"M",3.756,"brown",4,1
"219","pig",838.4,6,"white",0,"M",7.202,"blue",4,2
"220","goat",928.2,5,"brown",1,"F",3.242,"brown",3,1
"221","goat",1293.3,3,"brown",0,"M",0.529,"black",1,2
"222","horse",1086.3,1,"black",0,"F",0.75,"black",4,2
"223","pig",845.2,8,"red",1,"M",3.89,"black",5,3
"224","sheep",1303.4,3,"grey",0,"F",-1.478,"brown",4,3
"225","goat",1252.8,8,"red",1,"F",6.435,"brown",4,1
"226","goat",968.5,1,"red",0,"F",3.847,"brown",5,3
"227","goat",1272.8,4,"red",0,"F",5.144,"brown",4,1
"228","sheep",1146.7,6,"black",0,"F",6.197,"black",3,1
"229","sheep",843.9,3,"grey",0,"M",7.789,"black",1,4
"230","pig",1298.9,3,"grey",0,"M",-0.242,"black",4,3
"231","horse",875.3,5,"white",1,"M",5.531,"black",3,1
"232","sheep",717.3,5,"grey",0,"F",4.061,"brown",5,1
"233","pig",992.4,2,"white",1,"M",4.275,"black",4,3
"234","pig",770.6,8,"black",0,"M",-2.129,"black",3,3
"235","horse",1636.6,6,"red",1,"M",2.657,"black",4,4
"236","pig",1069.5,2,"white",0,"M",2.58,"black",5,2
"237","horse",1032.9,2,"red",1,"M",3.537,"brown",5,3
"238","horse",800.2,2,"white",0,"M",5.848,"black",1,1
"239","goat",1375.6,7,"black",1,"F",0.294,"black",5,2
"240","horse",1071,4,"grey",0,"M",5.251,"brown",1,1
"241","pig",978,7,"brown",0,"F",4.848,"brown",4,4
"242","goat",901.7,8,"black",1,"M",3.59,"black",1,1
"243","horse",992.3,8,"brown",0,"M",10.548,"black",5,1
"244","horse",952.7,4,"red",0,"F",5.356,"black",3,2
"245","pig",1020.3,3,"black",0,"M",10.133,"brown",5,1
"246","goat",933.9,3,"black",1,"F",9.962,"brown",2,3
"247","horse",1539,7,"black",0,"F",1.503,"brown",2,3
"248","pig",955.6,3,"red",1,"M",3.402,"brown",3,2
"249","horse",1073.6,5,"white",1,"M",5.455,"brown",4,1
"250","horse",1099.4,1,"grey",0,"M",-0.523,"brown",4,3
"251","goat",870.4,4,"white",0,"M",3.998,"black",3,1
"252","pig",1094.2,2,"white",1,"M",10.42,"black",4,4
"253","horse",1054.7,7,"red",1,"M",6.884,"blue",5,1
"254","goat",1184.6,2,"grey",0,"F",8.949,"brown",1,2
"255","goat",1208.3,5,"brown",0,"M",6.593,"brown",2,4
"256","goat",1371.3,5,"white",0,"F",4.68,"black",4,2
"257","goat",860.2,4,"white",0,"M",-0.777,"black",2,3
"258","goat",917.4,4,"brown",0,"M",8.597,"black",4,1
"259","sheep",1128.3,3,"black",0,"M",6.49,"black",5,3
"260","pig",970.9,7,"black",0,"M",5.291,"black",2,1
"261","goat",512.6,5,"red",1,"M",3.618,"blue",4,2
"262","goat",1069.7,3,"red",0,"M",8.737,"brown",4,1
"263","horse",743.8,6,"red",1,"F",3.482,"black",1,2
"264","goat",642.3,7,"grey",0,"F",9.256,"brown",2,1
"265","pig",1087.5,5,"brown",0,"M",1.56,"brown",2,1
"266","horse",1067.9,2,"red",0,"F",6.507,"black",2,3
"267","pig",865.3,3,"black",0,"M",-0.713,"black",3,1
"268","goat",1568.9,6,"red",0,"F",7.021,"black",1,2
"269","pig",1453.8,5,"grey",1,"F",7.339,"blue",4,1
"270","horse",974.8,2,"brown",1,"F",4.688,"brown",3,1
"271","goat",1275,2,"grey",1,"M",7.517,"blue",5,1
"272","horse",877,2,"black",0,"F",2.636,"brown",3,1
"273","sheep",1154.8,4,"white",1,"F",0.241,"black",3,3
"274","goat",1011.4,5,"brown",1,"F",5.974,"blue",5,3
"275","goat",1167.5,1,"black",0,"M",9.233,"black",5,1
"276","goat",1646.8,2,"white",1,"F",6.344,"black",2,1
"277","goat",626.5,7,"white",0,"F",1.972,"black",3,1
"278","sheep",1005.2,1,"white",0,"M",0.025,"brown",1,1
"279","horse",1203.4,4,"white",0,"F",4.253,"black",3,1
"280","goat",1043.1,6,"grey",0,"M",6.331,"black",1,1
"281","cow",1072.3,1,"brown",1,"F",11.471,"black",2,1
"282","sheep",943.8,5,"white",1,"M",7.717,"black",2,1
"283","pig",1313.6,3,"black",0,"M",5.06,"blue",3,1
"284","horse",1011.1,5,"white",1,"F",4.133,"black",4,1
"285","horse",1156.5,3,"grey",0,"M",1.454,"black",3,1
"286","horse",686.4,5,"brown",0,"F",6.087,"black",5,1
"287","goat",1120,4,"black",1,"F",2.381,"brown",3,3
"288","horse",812.8,6,"white",0,"M",5.474,"black",1,1
"289","goat",979.8,5,"black",0,"M",5.542,"black",4,3
"290","goat",1030.2,3,"grey",0,"F",8.013,"black",3,1
"291","horse",1284.4,5,"grey",0,"M",3.755,"black",2,1
"292","goat",714.3,3,"white",1,"F",4.62,"black",3,1
"293","goat",1089.9,4,"brown",0,"F",0.756,"brown",5,3
"294","sheep",1423.9,2,"brown",0,"F",3.632,"brown",1,3
"295","pig",1256,7,"grey",0,"M",6.973,"black",4,4
"296","horse",866.7,4,"white",0,"M",4.273,"blue",4,1
"297","goat",963.3,2,"black",0,"F",7.021,"brown",1,1
"298","horse",847.4,3,"grey",1,"F",4.881,"black",5,1
"299","sheep",988.7,8,"grey",1,"M",8.41,"brown",2,1
"300","goat",1249.5,2,"red",0,"M",4.17,"black",2,2
"301","sheep",1465.3,2,"red",0,"F",5.586,"black",5,1
"302","horse",1141.4,5,"white",1,"F",8.642,"brown",5,3
"303","horse",1244.3,3,"white",1,"F",-0.951,"black",1,1
"304","pig",1748.2,3,"grey",0,"M",1.561,"black",1,1
"305","pig",1394.9,6,"brown",0,"M",5.963,"black",2,4
"306","goat",831.5,8,"grey",0,"F",5.145,"brown",4,2
"307","horse",1470.6,6,"grey",0,"F",8.635,"brown",5,1
"308","pig",1484.6,4,"black",0,"M",4.093,"black",1,1
"309","horse",1059.4,4,"red",1,"M",5.709,"black",1,1
"310","horse",1044.9,3,"red",0,"F",6.538,"black",4,1
"311","horse",1080,7,"brown",1,"M",3.429,"black",3,1
"312","cow",1187.2,5,"brown",1,"F",5.217,"black",2,3
"313","horse",1589.9,2,"brown",0,"M",3.332,"brown",2,3
"314","pig",999.8,3,"grey",0,"F",5.359,"brown",1,1
"315","pig",604.8,4,"grey",0,"M",4.35,"brown",1,1
"316","cow",840.9,8,"grey",0,"F",1.914,"black",1,1
"317","horse",1465.4,5,"grey",0,"F",2.432,"brown",2,1
"318","goat",1524.7,3,"black",1,"F",7.442,"brown",3,1
"319","sheep",1126.9,4,"white",0,"M",4.784,"black",1,3
"320","goat",1195,7,"brown",0,"M",5.971,"black",2,3
"321","horse",710,3,"black",1,"F",8.526,"black",3,1
"322","goat",1263.1,5,"grey",1,"M",1.639,"black",2,4
"323","goat",1131.2,1,"brown",0,"M",3.6,"black",3,1
"324","horse",1116.4,4,"white",1,"F",5.995,"black",3,2
"325","goat",772.3,8,"grey",0,"F",5.201,"black",1,2
"326","pig",1507.3,1,"white",0,"M",10.734,"black",4,1
"327","cow",1082,3,"brown",0,"F",6.503,"brown",1,3
"328","pig",1485.6,2,"red",0,"F",10.498,"brown",2,3
"329","pig",1017.3,4,"grey",0,"M",7.374,"black",5,1
"330","pig",1167.5,5,"black",1,"F",6.684,"brown",5,1
"331","goat",1484.3,6,"red",0,"M",3.883,"brown",1,1
"332","goat",1086.3,3,"red",0,"M",5.094,"black",5,2
"333","horse",1272.8,4,"grey",1,"F",6.022,"blue",3,2
"334","sheep",995.5,1,"red",0,"M",7.082,"brown",1,1
"335","goat",1624.6,8,"brown",0,"F",5.708,"brown",2,2
"336","goat",1178.2,7,"black",1,"F",7.681,"brown",5,1
"337","goat",1077.5,4,"white",0,"F",3.509,"brown",5,2
"338","horse",985.1,5,"white",1,"F",3.671,"black",5,1
"339","goat",1276.7,3,"brown",0,"M",4.471,"brown",1,2
"340","sheep",1106.9,4,"grey",0,"F",2.1,"brown",1,3
"341","horse",1304.6,1,"grey",0,"M",-1.848,"black",5,1
"342","sheep",905.8,8,"black",1,"F",3.712,"brown",3,1
"343","horse",951.7,6,"red",1,"M",3.212,"black",3,1
"344","pig",853.6,3,"white",0,"M",2.03,"brown",4,4
"345","pig",1087,7,"grey",0,"F",6.362,"black",1,2
"346","pig",772.3,1,"red",0,"M",4.419,"brown",3,3
"347","sheep",931.2,2,"grey",0,"M",0.273,"brown",3,1
"348","horse",979.6,6,"brown",0,"F",4.86,"black",2,2
"349","horse",1073.3,5,"grey",0,"F",8.378,"black",4,1
"350","goat",816.5,2,"white",1,"F",2.359,"black",5,1
"351","goat",1041.4,7,"red",1,"F",3.563,"black",2,4
"352","horse",1243.6,4,"black",0,"F",8.571,"brown",5,1
"353","horse",1173.1,4,"red",0,"M",3.228,"black",4,1
"354","goat",818.8,1,"brown",0,"F",4.911,"brown",4,3
"355","goat",1195.4,4,"grey",0,"F",5.009,"brown",2,4
"356","horse",1390.1,4,"black",1,"M",3.158,"brown",2,2
"357","pig",958.5,6,"black",0,"F",6.553,"black",3,3
"358","horse",1278.8,8,"red",1,"F",2.958,"black",2,2
"359","sheep",1114.4,3,"black",0,"M",6.313,"black",3,3
"360","goat",695.1,2,"brown",0,"M",4.7,"brown",1,1
"361","horse",1209.5,1,"red",0,"F",5.65,"black",1,1
"362","pig",928.7,3,"white",0,"M",9.562,"black",3,1
"363","goat",896.8,5,"grey",0,"F",1.97,"brown",1,1
"364","horse",1023.9,8,"black",1,"M",5.727,"black",5,1
"365","pig",915.8,2,"white",0,"M",11.631,"black",3,3
"366","sheep",797.5,2,"red",0,"F",8.46,"brown",5,1
"367","goat",1068.5,5,"red",1,"F",1.076,"brown",1,2
"368","horse",1159.5,7,"grey",0,"M",3.667,"black",4,1
"369","sheep",1180.5,2,"grey",0,"M",8.233,"brown",1,4
"370","cow",1209.7,7,"brown",0,"F",9.095,"brown",3,1
"371","pig",834.2,2,"brown",1,"F",4.357,"brown",3,1
"372","goat",1194.4,6,"grey",1,"M",9.435,"black",4,2
"373","goat",765.6,2,"white",0,"F",6.788,"brown",4,1
"374","horse",1175.4,3,"red",0,"M",7.162,"brown",5,3
"375","pig",982.5,1,"grey",0,"F",6.908,"brown",1,2
"376","pig",991.2,7,"black",0,"M",6.731,"black",5,1
"377","goat",1156.5,1,"brown",1,"M",1.942,"blue",3,3
"378","horse",905.9,1,"black",1,"M",10.323,"black",1,1
"379","goat",1385.1,2,"grey",1,"M",3.802,"black",2,1
"380","pig",889.9,6,"grey",1,"M",4.858,"brown",5,1
"381","sheep",1433.7,7,"black",0,"F",6.083,"black",2,1
"382","sheep",1378.7,3,"grey",0,"F",7.75,"brown",3,3
"383","pig",1122.3,4,"brown",1,"M",8.472,"black",4,2
"384","sheep",936.2,5,"brown",1,"F",7.206,"black",4,1
"385","horse",1244.4,5,"white",0,"F",5.052,"black",4,3
"386","goat",878.8,2,"red",0,"F",4.514,"brown",2,1
"387","goat",1208.4,6,"red",0,"F",3.013,"brown",5,1
"388","sheep",1074.1,4,"black",0,"F",5.455,"black",3,1
"389","horse",953.4,2,"red",1,"M",1.429,"brown",5,1
"390","horse",1065.2,4,"brown",1,"F",0.653,"black",2,2
"391","pig",1011.1,3,"grey",0,"F",2.295,"blue",5,1
"392","sheep",1391.6,2,"grey",1,"M",2.822,"brown",5,3
"393","goat",525.3,5,"white",0,"F",10.059,"brown",1,4
"394","horse",995.4,1,"red",0,"F",4.979,"black",4,3
"395","sheep",1506.2,4,"grey",1,"F",7.822,"black",4,3
"396","sheep",1184.8,8,"grey",0,"M",5.997,"brown",1,3
"397","goat",955.4,2,"red",0,"M",2.773,"brown",5,1
"398","goat",1233.6,4,"brown",1,"F",2.861,"black",2,2
"399","horse",1373.7,2,"black",0,"F",5.379,"black",3,1
"400","horse",1498,5,"brown",0,"F",1.405,"black",5,4
"401","horse",844,4,"grey",0,"F",3.271,"brown",4,1
"402","horse",1470.5,7,"white",0,"F",3.909,"black",1,3
"403","cow",1002.5,2,"white",1,"F",3.956,"brown",2,1
"404","horse",924.1,1,"grey",0,"M",2.298,"brown",5,1
"405","goat",1275.9,1,"red",0,"F",7.965,"black",5,1
"406","horse",1108.4,3,"white",0,"F",0.684,"brown",1,2
"407","goat",856.3,8,"brown",0,"F",8.291,"black",1,2
"408","horse",793.7,1,"brown",0,"F",6.279,"brown",3,3
"409","goat",1080,3,"red",0,"M",1.511,"black",1,1
"410","pig",816.8,3,"white",0,"M",7.038,"black",1,4
"411","sheep",994.1,6,"white",1,"F",3.64,"black",5,2
"412","goat",1233.5,3,"red",1,"M",9.572,"black",5,3
"413","goat",886.4,1,"black",0,"F",-0.195,"brown",4,2
"414","goat",1523.8,3,"brown",0,"M",8.465,"brown",2,1
"415","goat",974.9,2,"red",0,"M",7.827,"black",2,1
"416","pig",1376.5,3,"red",0,"M",3.611,"black",1,3
"417","horse",905.5,4,"black",1,"M",5.63,"brown",3,1
"418","cow",855.8,5,"brown",1,"F",10.874,"brown",5,1
"419","horse",1302.6,4,"white",0,"M",10.276,"brown",1,4
"420","goat",1187.9,2,"white",0,"F",10.762,"brown",3,2
"421","horse",1112.5,2,"grey",0,"M",3.963,"red",3,1
"422","goat",829.6,7,"brown",0,"M",4.853,"brown",4,1
"423","horse",854,6,"black",0,"M",8.265,"brown",5,2
"424","goat",1385.5,7,"white",1,"F",6.899,"brown",2,2
"425","sheep",1059.4,1,"brown",0,"F",5.014,"black",3,2
"426","horse",914.4,1,"brown",0,"M",2.433,"brown",2,1
"427","horse",1277.2,4,"brown",0,"F",7.424,"brown",1,1
"428","horse",1077.6,5,"grey",0,"F",6.189,"brown",4,3
