cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/3/2016,11/6/2016,"Monmouth University","A+",748,"lv",3.968271,50,44,4,,48.92818,43.4199,4.647182,,"","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/",48623,76176,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Virginia",11/3/2016,11/4/2016,"Public Policy Polling","B+",1238,"lv",3.923524,48,43,1,,47.34899,42.3864,1.862677,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48349,75743,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/1/2016,11/3/2016,"Marist College","A",940,"lv",3.906176,44,43,6,,42.66005,43.48388,4.322143,,"","http://www.mcclatchydc.com/news/politics-government/election/article112635048.html",48362,75818,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Wisconsin",10/26/2016,10/31/2016,"Marquette University","A",1255,"lv",3.88783,46,40,4,,45.87365,41.20382,2.242376,,"","https://twitter.com/MULawPoll",48095,75264,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Iowa",11/1/2016,11/4/2016,"Selzer & Company","A+",800,"lv",3.870777,39,46,6,,39.38367,45.7191,5.601241,,"","http://www.desmoinesregister.com/story/news/politics/iowa-poll/2016/11/05/iowa-poll-trump-opens-7-point-lead-over-clinton/93347134/?hootPostID=244ad51ae6af519614281eb8c6904b90",48470,75957,11/5/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"North Carolina",11/4/2016,11/6/2016,"Siena College","A",800,"lv",3.774139,44,44,3,,44.11831,45.11214,2.324817,,"","http://www.nytimes.com/2016/11/08/upshot/trump-and-clinton-tied-in-final-upshot-poll-of-north-carolina.html",48524,76066,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Georgia",11/6/2016,11/6/2016,"Landmark Communications","B",1200,"lv",3.752961,46,49,3,,44.87953,48.65468,3.750134,,"","http://landmarkcommunications.net/landmarkrosetta-stone-releases-final-sunday-poll-of-georgia-voters-for-president-senate/",48525,76068,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",11/3/2016,11/6/2016,"Quinnipiac University","A-",884,"lv",3.718829,46,45,2,,46.37311,44.04478,1.924556,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401",48522,76060,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"North Carolina",11/3/2016,11/6/2016,"Quinnipiac University","A-",870,"lv",3.677972,47,45,3,,47.37078,44.04159,2.924556,,"","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401",48523,76062,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/4/2016,11/6/2016,"The Times-Picayune/Lucid","",2584,"lv",3.654505,45,40,5,,45.20372,42.30809,3.634663,,"","https://luc.id/2016-presidential-tracker/",48618,76162,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Virginia",10/27/2016,10/30/2016,"ABC News/Washington Post","A+",1024,"lv",3.632387,48,42,6,,46.31934,41.68605,5.566545,,"","https://www.washingtonpost.com/local/virginia-politics/clinton-leads-trump-in-virginia-in-new-washington-post-poll-propelled-by-voter-rich-northern-virginia/2016/10/31/1e560cce-9f9c-11e6-8832-23a007c77bb4_story.html",47880,74934,11/1/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/1/2016,11/5/2016,"RKM Research and Communications, Inc.","B+",1009,"lv",3.485251,47.6,44.4,4.3,,47.47666,43.22338,4.393599,,"","http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win",48509,76029,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/31/2016,11/6/2016,"USC Dornsife/LA Times","",2935,"lv",3.458596,43.23,47.98,,,45.05655,44.82501,,,"","http://latimes.com/politics/",48510,76031,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Ohio",11/2/2016,11/4/2016,"YouGov","B",1189,"lv",3.384065,45,46,,,44.42158,44.76255,,,"","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvlr48n70w/OH_Prelim_20161106.pdf",48481,75977,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Virginia",11/1/2016,11/2/2016,"Remington","",3076,"lv",3.373787,46,44,,,45.49291,42.41522,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48494,76000,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/1/2016,11/2/2016,"Gravis Marketing","B-",2435,"rv",3.369683,47,45,3,,47.30595,44.51545,3.377069,,"","http://www.breitbart.com/big-government/2016/11/05/exclusive-pat-caddell-breitbartgravis-national-poll-shows-trump-could-win-and-win-by-a-lot/",48471,75959,11/5/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Michigan",11/3/2016,11/4/2016,"Public Policy Polling","B+",957,"lv",3.354886,46,41,6,,45.35281,40.39232,6.862677,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48348,75741,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"North Carolina",10/31/2016,11/1/2016,"Public Policy Polling","B+",1169,"lv",3.322677,49,47,,,48.08562,46.39995,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48326,75699,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Wisconsin",11/1/2016,11/2/2016,"Remington","",2720,"lv",3.308727,49,41,,,48.37959,39.31652,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48495,76001,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Pennsylvania",11/1/2016,11/2/2016,"Remington","",2683,"lv",3.297874,46,45,,,45.58083,43.5016,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48493,75999,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Virginia",11/1/2016,11/6/2016,"Christopher Newport University","B-",1193,"lv",3.233819,48,42,3,,48.92222,43.86296,1.68038,,"","http://www.nbc12.com/story/33645067/poll-clinton-leading-trump-by-6-points-in-va",48512,76034,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"North Carolina",11/1/2016,11/2/2016,"Remington","",2596,"lv",3.219699,45,48,,,44.61477,46.52908,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48491,75997,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Ohio",11/1/2016,11/2/2016,"Remington","",2557,"lv",3.207606,44,45,,,43.15579,43.08451,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48492,75998,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Missouri",10/31/2016,11/1/2016,"Public Policy Polling","B+",1083,"lv",3.173688,37,50,4,,36.39206,49.72187,4.490831,,"","http://images.campaignpartner.net/images/15290/MissouriResults112.pdf",48119,75343,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Pennsylvania",10/31/2016,11/1/2016,"Public Policy Polling","B+",1050,"lv",3.171644,48,44,,,47.05151,43.37711,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48329,75702,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"New Hampshire",11/4/2016,11/5/2016,"Emerson College","B",1000,"lv",3.168547,45.4,43.8,4.5,,45.26742,41.9598,4.638468,,"","projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf",48519,76055,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/31/2016,11/6/2016,"CVOTER International","C+",1625,"lv",3.143749,48.91,46.13,,,47.12935,42.24635,,,"","http://www.upi.com/Top_News/US/2016/11/07/UPICVoter-poll-Hillary-Clinton-holds-slim-lead-over-Donald-Trump-on-eve-of-election/5881478528364/",48615,76159,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",11/1/2016,11/2/2016,"Remington","",2352,"lv",3.123244,45,48,,,45.02857,46.95582,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48489,75995,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/4/2016,11/5/2016,"Morning Consult","",1482,"lv",3.08538,45,42,8,,46.20397,43.25573,6.719502,,"","https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/",48477,75968,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",11/2/2016,11/4/2016,"YouGov","B",1188,"rv",3.053852,45,45,,,46.62934,46.72361,,,"","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mwbtap4dgs/FL_Prelim_20161106.pdf",48482,75978,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/30/2016,11/1/2016,"YouGov","B",1233,"lv",3.036931,46,43,4,,46.06858,42.83434,4.979264,,"","https://today.yougov.com/news/2016/11/02/post-comey-poll-clinton-leads-three/",48082,75219,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Wisconsin",11/1/2016,11/2/2016,"Clarity Campaign Labs","B",1129,"lv",3.035891,47,43,4,,47.60798,43.0013,3.522626,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48621,76170,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"California",10/25/2016,10/31/2016,"YouGov","B",1498,"lv",3.035142,53,33,4,,53.02494,33.51522,4.554538,,"","http://www.sacbee.com/news/politics-government/capitol-alert/article112168782.html",48125,75391,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/31/2016,11/6/2016,"SurveyMonkey","C-",70194,"lv",3.031747,47,41,6,,45.65403,40.46742,3.431806,,"","http://www.nbcnews.com/storyline/data-points/poll-eve-election-day-clinton-maintains-her-edge-over-trump-n678816",48515,76043,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/20/2016,10/25/2016,"Pew Research Center","B+",2120,"rv",3.027649,46,40,6,,45.58724,42.90927,3.012599,,"","http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/",47616,74519,10/27/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Pennsylvania",11/1/2016,11/4/2016,"Clarity Campaign Labs","B",1033,"lv",3.012788,47,43,4,,47.57999,42.86177,3.655769,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48620,76169,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Ohio",11/4/2016,11/5/2016,"Emerson College","B",900,"lv",2.984264,38.9,45.6,6.8,,38.76063,43.75048,6.938468,,"","projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf",48516,76052,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"New Hampshire",11/3/2016,11/6/2016,"University of New Hampshire","B+",692,"lv",2.974129,49,38,6,,48.58348,39.26318,6.299001,,"","http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_pressengov110616.pdf",48497,76013,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",11/2/2016,11/6/2016,"Rasmussen Reports/Pulse Opinion Research","C+",1500,"lv",2.958132,45,43,4,,45.40985,43.14615,4.097011,,"","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_nov7",48613,76157,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Colorado",11/1/2016,11/2/2016,"Remington","",1863,"lv",2.956124,42,41,,,40.25583,38.19688,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48488,75994,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",10/20/2016,10/24/2016,"SurveyUSA","A",1251,"lv",2.954021,48,45,2,,46.6894,46.04726,.9098728,,"","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs",47465,74252,10/25/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"New York",11/3/2016,11/4/2016,"Siena College","A",617,"lv",2.918242,51,34,5,,51.17385,35.20431,4.186745,,"","http://files.constantcontact.com/9c83fb30501/486bf15f-bd24-43fa-988f-79ba63efc430.pdf",48478,75969,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Nevada",11/1/2016,11/2/2016,"Remington","",1793,"lv",2.898775,45,46,,,44.04285,43.97234,,,"","http://docs.axiomstrategies.com/wp-content/uploads/2016/11/ABC_Press_Release-110616.pdf",48490,75996,11/6/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"California",10/22/2016,10/30/2016,"Greenberg Quinlan Rosner/American Viewpoint","B+",1382,"lv",2.890302,54,30,4,,54.0834,31.73487,2.739017,,"","https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v",48321,75803,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Washington",10/31/2016,11/2/2016,"SurveyUSA","A",681,"lv",2.863745,50,38,4,,48.90383,37.08042,4.182609,,"","http://www.surveyusa.com/client/PollReport.aspx?g=befe5f60-092c-48e8-b36f-b5ae8e28048e",48365,75831,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"California",10/28/2016,10/31/2016,"SurveyUSA","A",747,"lv",2.85937,56,35,4,,54.87384,34.42622,3.898497,,"","http://sanfrancisco.cbslocal.com/2016/11/01/surveyusa-kpix-5-poll-hillary-clinton-donald-trump-prop-64-marijuana/",48011,75087,11/1/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Arizona",10/30/2016,11/1/2016,"Marist College","A",719,"lv",2.859202,40,45,9,,38.64664,45.8073,7.051737,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48211,75509,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Wisconsin",10/31/2016,11/1/2016,"Public Policy Polling","B+",891,"lv",2.857137,48,41,,,46.84986,40.20366,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48330,75703,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Missouri",11/1/2016,11/2/2016,"Clarity Campaign Labs","B",1036,"lv",2.852793,38,54,,,37.82563,53.20521,,,"","http://projects.fivethirtyeight.com/polls/11072016_sen.pdf",48622,76171,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Georgia",10/30/2016,11/1/2016,"Marist College","A",707,"lv",2.795523,44,45,8,,42.6301,45.71895,6.051737,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48209,75507,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Texas",10/30/2016,11/1/2016,"Marist College","A",679,"lv",2.777819,40,49,6,,38.64034,49.77364,4.051737,,"","http://www.wsj.com/articles/new-poll-finds-close-race-in-georgia-1478206826",48210,75508,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Missouri",10/31/2016,11/1/2016,"Remington","",1722,"lv",2.741439,39,52,4,,38.85498,50.92311,4.559296,,"","http://projects.fivethirtyeight.com/polls/20161103_MO_1.pdf",48186,75458,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Colorado",11/3/2016,11/4/2016,"Public Policy Polling","B+",704,"lv",2.72873,48,43,4,,47.35722,42.39917,4.862677,,"","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf",48347,75739,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Arizona",10/29/2016,10/31/2016,"Saguaro Strategies","",2229,"lv",2.722561,45,44,7,,43.21227,43.98463,5.906133,,"","https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31",48185,75456,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Pennsylvania",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",799,"lv",2.708616,48,44,4,,47.04603,42.39372,2.967668,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48090,75243,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Utah",10/31/2016,11/2/2016,"Emerson College","B",1000,"lv",2.695307,19.6,39.8,3,27.6,19.54341,38.36158,2.597566,27.73545,"","http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf",48196,75478,11/3/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Missouri",11/4/2016,11/5/2016,"Emerson College","B",750,"lv",2.673305,40.5,46.5,6.6,,40.35963,44.64912,6.738468,,"","projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf",48518,76054,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Nevada",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",790,"lv",2.624312,43,49,5,,42.05089,47.43103,3.967668,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48089,75239,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",10/30/2016,11/6/2016,"SurveyMonkey","C-",3574,"lv",2.618103,47,45,5,,45.65294,44.46542,2.431806,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48536,76080,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"U.S.",10/20/2016,11/1/2016,"RAND (American Life Panel)","B-",2269,"lv",2.59055,43.7,34.6,7.7,,42.35362,38.70107,5.363085,,"","http://www.rand.org/pubs/research_reports/RR1792.html",48009,75084,11/1/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Arizona",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",769,"lv",2.571478,44,49,5,,43.05316,47.44841,3.967668,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48087,75231,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"New Hampshire",10/31/2016,11/1/2016,"Public Policy Polling","B+",781,"lv",2.568357,48,43,,,45.91659,41.32182,,,"","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf",48327,75700,11/4/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Florida",10/27/2016,11/1/2016,"CNN/Opinion Research Corp.","A-",773,"lv",2.557385,49,47,3,,48.04964,45.42146,1.967668,,"","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479",48088,75235,11/2/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Michigan",10/30/2016,11/6/2016,"SurveyMonkey","C-",2868,"lv",2.555553,44,42,8,,42.65517,41.46954,5.431806,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48551,76095,11/7/16,"13:38:00  7 Nov 2016"
2016,"President","polls-plus","Clinton vs. Trump vs. Johnson",11/7/16,"Texas",10/30/2016,11/6/2016,"SurveyMonkey","C-",2695,"lv",2.546883,42,47,6,,40.65047,46.46087,3.431806,,"","https://www.surveymonkey.com/elections/map?poll=sm-lv-cps",48572,76116,11/7/16,"13:38:00  7 Nov 2016"
